Tiempo (s)	Voltaje (V)
0.000000	0.229053
0.001000	0.208770
0.002000	0.274447
0.003000	0.307285
0.004000	0.348816
0.005000	0.341411
0.006000	0.270584
0.007000	0.252877
0.008000	0.218107
0.009000	0.277666
0.010000	0.294408
0.011000	0.242896
0.012000	0.246760
0.013000	0.202009
0.014000	0.262213
0.015000	0.293442
0.016000	0.288934
0.017000	0.373928
0.018000	0.311793
0.019000	0.210058
0.020000	0.303422
0.021000	0.315656
0.022000	0.239355
0.023000	0.189775
0.024000	0.275091
0.025000	0.203619
0.026000	0.175288
0.027000	0.236136
0.028000	0.332719
0.029000	0.364270
0.030000	0.263501
0.031000	0.268008
0.032000	0.315334
0.033000	0.201044
0.034000	0.203297
0.035000	0.178185
0.036000	0.179473
0.037000	0.216497
0.038000	0.284749
0.039000	0.402903
0.040000	0.422542
0.041000	0.425117
0.042000	0.304710
0.043000	0.353645
0.044000	0.262535
0.045000	0.212634
0.046000	0.187844
0.047000	0.178829
0.048000	0.206839
0.049000	0.248691
0.050000	0.291188
0.051000	0.330143
0.052000	0.340768
0.053000	0.327246
0.054000	0.273159
0.055000	0.242252
0.056000	0.199756
0.057000	0.242896
0.058000	0.262535
0.059000	0.226155
0.060000	0.257384
0.061000	0.297305
0.062000	0.297949
0.063000	0.286681
0.064000	0.237101
0.065000	0.242896
0.066000	0.263823
0.067000	0.249013
0.068000	0.177542
0.069000	0.336582
0.070000	0.369099
0.071000	0.390669
0.072000	0.257384
0.073000	0.205551
0.074000	0.174966
0.075000	0.175288
0.076000	0.180117
0.077000	0.175288
0.078000	0.230019
0.079000	0.334007
0.080000	0.296983
0.081000	0.320807
0.082000	0.245472
0.083000	0.241609
0.084000	0.242896
0.085000	0.231950
0.086000	0.270262
0.087000	0.309539
0.088000	0.341411
0.089000	0.360728
0.090000	0.371996
0.091000	0.350104
0.092000	0.307285
0.093000	0.188488
0.094000	0.171425
0.095000	0.217141
0.096000	0.174644
0.097000	0.206195
0.098000	0.361372
0.099000	0.386484
0.100000	0.337870
0.101000	0.262535
0.102000	0.191063
0.103000	0.177542
0.104000	0.266076
0.105000	0.274125
0.106000	0.314046
0.107000	0.364592
0.108000	0.326924
0.109000	0.266076
0.110000	0.219394
0.111000	0.244184
0.112000	0.228409
0.113000	0.231950
0.114000	0.314368
0.115000	0.322739
0.116000	0.224546
0.117000	0.210702
0.118000	0.255452
0.119000	0.193639
0.120000	0.217141
0.121000	0.256096
0.122000	0.297949
0.123000	0.334007
0.124000	0.329821
0.125000	0.285393
0.126000	0.228087
0.127000	0.322095
0.128000	0.199756
0.129000	0.173678
0.130000	0.221648
0.131000	0.247726
0.132000	0.242896
0.133000	0.295051
0.134000	0.329500
0.135000	0.302778
0.136000	0.263501
0.137000	0.340768
0.138000	0.379079
0.139000	0.216497
0.140000	0.192029
0.141000	0.244184
0.142000	0.262213
0.143000	0.245472
0.144000	0.279276
0.145000	0.280564
0.146000	0.306320
0.147000	0.377791
0.148000	0.316622
0.149000	0.250301
0.150000	0.186234
0.151000	0.193317
0.152000	0.205551
0.153000	0.315012
0.154000	0.395176
0.155000	0.399040
0.156000	0.363304
0.157000	0.374250
0.158000	0.234526
0.159000	0.384552
0.160000	0.374894
0.161000	0.185590
0.162000	0.178829
0.163000	0.180117
0.164000	0.199434
0.165000	0.216175
0.166000	0.183015
0.167000	0.265111
0.168000	0.217463
0.169000	0.279920
0.170000	0.298271
0.171000	0.293764
0.172000	0.338836
0.173000	0.315978
0.174000	0.350426
0.175000	0.255130
0.176000	0.276379
0.177000	0.173678
0.178000	0.234848
0.179000	0.223258
0.180000	0.263823
0.181000	0.278954
0.182000	0.282818
0.183000	0.249013
0.184000	0.210702
0.185000	0.191385
0.186000	0.223580
0.187000	0.349138
0.188000	0.370065
0.189000	0.340124
0.190000	0.329178
0.191000	0.232594
0.192000	0.172712
0.193000	0.352680
0.194000	0.427049
0.195000	0.460853
0.196000	0.319519
0.197000	0.333685
0.198000	0.351392
0.199000	0.390347
0.200000	0.374250
0.201000	0.366845
0.202000	0.283461
0.203000	0.407088
0.204000	0.408376
0.205000	0.339480
0.206000	0.178829
0.207000	0.260925
0.208000	0.310505
0.209000	0.221648
0.210000	0.169815
0.211000	0.172068
0.212000	0.181083
0.213000	0.353002
0.214000	0.524920
0.215000	0.492726
0.216000	0.443146
0.217000	0.254164
0.218000	0.228409
0.219000	0.379079
0.220000	0.419966
0.221000	0.205229
0.222000	0.329500
0.223000	0.395498
0.224000	0.466004
0.225000	0.371352
0.226000	0.269618
0.227000	0.203619
0.228000	0.180439
0.229000	0.337870
0.230000	0.435097
0.231000	0.398074
0.232000	0.380367
0.233000	0.407088
0.234000	0.359118
0.235000	0.257062
0.236000	0.202009
0.237000	0.276057
0.238000	0.199756
0.239000	0.306320
0.240000	0.326924
0.241000	0.301490
0.242000	0.333685
0.243000	0.326602
0.244000	0.324348
0.245000	0.309539
0.246000	0.235170
0.247000	0.322739
0.248000	0.356543
0.249000	0.257706
0.250000	0.246116
0.251000	0.284105
0.252000	0.344631
0.253000	0.287325
0.254000	0.457956
0.255000	0.435097
0.256000	0.537476
0.257000	0.422864
0.258000	0.175932
0.259000	0.212312
0.260000	0.189775
0.261000	0.220038
0.262000	0.183659
0.263000	0.226477
0.264000	0.258028
0.265000	0.212634
0.266000	0.188488
0.267000	0.293120
0.268000	0.261569
0.269000	0.308251
0.270000	0.421576
0.271000	0.482101
0.272000	0.504959
0.273000	0.452161
0.274000	0.393889
0.275000	0.215853
0.276000	0.358797
0.277000	0.333041
0.278000	0.220360
0.279000	0.308573
0.280000	0.301812
0.281000	0.290222
0.282000	0.325636
0.283000	0.316622
0.284000	0.286359
0.285000	0.308573
0.286000	0.305676
0.287000	0.288934
0.288000	0.199756
0.289000	0.173356
0.290000	0.247082
0.291000	0.310827
0.292000	0.234848
0.293000	0.253199
0.294000	0.263823
0.295000	0.314368
0.296000	0.313080
0.297000	0.304066
0.298000	0.263179
0.299000	0.239677
0.300000	0.235170
0.301000	0.228087
0.302000	0.230019
0.303000	0.286359
0.304000	0.336904
0.305000	0.330787
0.306000	0.287969
0.307000	0.406444
0.308000	0.453126
0.309000	0.397752
0.310000	0.273481
0.311000	0.185268
0.312000	0.184302
0.313000	0.177542
0.314000	0.239355
0.315000	0.294086
0.316000	0.273803
0.317000	0.326280
0.318000	0.299237
0.319000	0.324026
0.320000	0.422542
0.321000	0.313080
0.322000	0.211990
0.323000	0.172712
0.324000	0.187522
0.325000	0.221004
0.326000	0.278310
0.327000	0.265433
0.328000	0.197180
0.329000	0.349782
0.330000	0.401615
0.331000	0.181405
0.332000	0.249013
0.333000	0.215209
0.334000	0.267042
0.335000	0.246438
0.336000	0.219072
0.337000	0.256096
0.338000	0.266076
0.339000	0.270584
0.340000	0.219072
0.341000	0.312436
0.342000	0.334651
0.343000	0.346885
0.344000	0.288291
0.345000	0.322095
0.346000	0.305676
0.347000	0.312115
0.348000	0.369421
0.349000	0.242574
0.350000	0.273481
0.351000	0.186556
0.352000	0.267042
0.353000	0.365557
0.354000	0.414815
0.355000	0.494013
0.356000	0.548744
0.357000	0.358153
0.358000	0.202331
0.359000	0.221004
0.360000	0.216497
0.361000	0.175288
0.362000	0.174644
0.363000	0.216175
0.364000	0.179151
0.365000	0.197502
0.366000	0.187522
0.367000	0.219716
0.368000	0.187844
0.369000	0.291510
0.370000	0.377469
0.371000	0.288613
0.372000	0.306963
0.373000	0.231306
0.374000	0.249657
0.375000	0.312758
0.376000	0.285071
0.377000	0.232916
0.378000	0.179473
0.379000	0.227121
0.380000	0.222614
0.381000	0.260603
0.382000	0.249979
0.383000	0.275413
0.384000	0.289900
0.385000	0.295373
0.386000	0.379723
0.387000	0.354289
0.388000	0.412239
0.389000	0.490150
0.390000	0.381333
0.391000	0.262213
0.392000	0.222292
0.393000	0.336904
0.394000	0.176254
0.395000	0.273481
0.396000	0.224546
0.397000	0.222936
0.398000	0.195892
0.399000	0.204585
0.400000	0.313402
0.401000	0.338514
0.402000	0.229697
0.403000	0.195570
0.404000	0.214565
0.405000	0.296339
0.406000	0.252233
0.407000	0.306320
0.408000	0.317910
0.409000	0.384874
0.410000	0.449263
0.411000	0.369743
0.412000	0.439605
0.413000	0.419000
0.414000	0.419644
0.415000	0.453770
0.416000	0.369743
0.417000	0.459243
0.418000	0.294086
0.419000	0.442824
0.420000	0.516871
0.421000	0.516549
0.422000	0.404513
0.423000	0.314046
0.424000	0.473731
0.425000	0.273159
0.426000	0.250945
0.427000	0.656917
0.428000	0.676878
0.429000	0.400327
0.430000	0.343665
0.431000	0.265433
0.432000	0.211990
0.433000	0.269618
0.434000	0.240643
0.435000	0.341733
0.436000	0.409342
0.437000	0.358475
0.438000	0.209414
0.439000	0.468258
0.440000	0.208770
0.441000	0.394210
0.442000	0.287647
0.443000	0.183015
0.444000	0.253842
0.445000	0.225833
0.446000	0.328534
0.447000	0.194927
0.448000	0.228409
0.449000	0.239677
0.450000	0.194283
0.451000	0.315012
0.452000	0.307285
0.453000	0.315012
0.454000	0.178185
0.455000	0.315012
0.456000	0.628586
0.457000	0.863928
0.458000	0.882279
0.459000	0.608304
0.460000	0.501740
0.461000	0.291832
0.462000	0.181405
0.463000	0.373928
0.464000	0.517515
0.465000	0.484033
0.466000	0.251911
0.467000	0.270262
0.468000	0.335295
0.469000	0.363948
0.470000	0.496911
0.471000	0.232272
0.472000	0.265111
0.473000	0.519447
0.474000	0.694263
0.475000	0.636635
0.476000	0.607338
0.477000	0.859099
0.478000	0.728389
0.479000	0.279276
0.480000	0.230984
0.481000	0.223902
0.482000	0.815636
0.483000	0.585446
0.484000	0.458599
0.485000	0.305354
0.486000	0.566451
0.487000	0.578363
0.488000	0.765413
0.489000	0.716477
0.490000	0.442824
0.491000	0.598002
0.492000	0.764769
0.493000	0.808553
0.494000	0.883245
0.495000	1.037134
0.496000	1.146274
0.497000	1.417029
0.498000	0.984979
0.499000	0.586733
0.500000	0.193961
0.501000	0.466326
0.502000	0.777003
0.503000	1.233843
0.504000	1.492042
0.505000	1.428297
0.506000	1.059027
0.507000	0.250623
0.508000	0.922844
0.509000	1.574782
0.510000	1.544519
0.511000	0.899986
0.512000	0.633737
0.513000	0.557436
0.514000	0.736116
0.515000	1.225472
0.516000	1.371957
0.517000	0.774749
0.518000	0.364913
0.519000	0.324670
0.520000	0.670761
0.521000	1.521661
0.522000	1.942765
0.523000	1.596353
0.524000	1.334611
0.525000	1.025544
0.526000	0.622147
0.527000	0.334329
0.528000	0.194605
0.529000	0.525886
0.530000	0.350104
0.531000	0.631806
0.532000	0.463429
0.533000	0.442180
0.534000	0.641464
0.535000	1.337831
0.536000	1.455341
0.537000	0.484033
0.538000	0.736438
0.539000	0.604440
0.540000	0.578041
0.541000	0.597680
0.542000	1.120840
0.543000	0.237101
0.544000	0.454736
0.545000	0.628586
0.546000	0.290866
0.547000	0.403225
0.548000	0.343987
0.549000	0.223580
0.550000	0.409020
0.551000	0.454092
0.552000	0.593816
0.553000	0.682995
0.554000	0.940873
0.555000	0.635347
0.556000	0.685249
0.557000	0.362338
0.558000	0.206839
0.559000	1.241247
0.560000	0.835919
0.561000	0.816602
0.562000	0.306641
0.563000	0.817568
0.564000	0.555827
0.565000	0.212955
0.566000	0.312115
0.567000	0.701346
0.568000	0.780222
0.569000	2.312680
0.570000	2.170058
0.571000	1.029730
0.572000	0.432844
0.573000	0.737404
0.574000	0.664644
0.575000	0.515262
0.576000	0.567739
0.577000	0.209092
0.578000	0.291510
0.579000	0.193961
0.580000	0.302456
0.581000	0.313402
0.582000	1.052588
0.583000	1.003652
0.584000	0.717765
0.585000	0.419966
0.586000	0.388737
0.587000	0.571280
0.588000	0.537154
0.589000	0.662712
0.590000	0.445400
0.591000	0.743199
0.592000	0.426083
0.593000	0.585446
0.594000	1.233199
0.595000	1.240603
0.596000	0.533291
0.597000	0.647581
0.598000	1.383869
0.599000	1.722555
0.600000	0.971136
0.601000	0.526208
0.602000	0.413205
0.603000	0.223902
0.604000	0.844933
0.605000	0.752213
0.606000	0.888074
0.607000	0.281852
0.608000	0.256096
0.609000	0.211346
0.610000	1.036490
0.611000	1.347811
0.612000	0.378113
0.613000	0.408054
0.614000	0.840426
0.615000	0.780222
0.616000	0.199434
0.617000	0.339158
0.618000	0.632128
0.619000	0.632772
0.620000	0.272515
0.621000	0.505603
0.622000	0.424151
0.623000	0.506247
0.624000	1.159151
0.625000	1.100557
0.626000	0.799217
0.627000	0.821109
0.628000	0.822719
0.629000	0.802437
0.630000	0.890327
0.631000	1.422502
0.632000	1.720623
0.633000	0.735472
0.634000	0.975965
0.635000	1.295978
0.636000	0.533291
0.637000	0.508179
0.638000	1.417673
0.639000	2.015847
0.640000	1.843606
0.641000	2.164263
0.642000	2.117581
0.643000	1.317226
0.644000	0.944092
0.645000	0.937975
0.646000	0.481458
0.647000	0.445400
0.648000	0.815958
0.649000	0.932824
0.650000	0.743199
0.651000	0.964375
0.652000	0.895479
0.653000	2.199033
0.654000	2.149454
0.655000	1.278593
0.656000	1.774388
0.657000	1.845216
0.658000	1.288251
0.659000	0.418678
0.660000	0.738691
0.661000	1.926346
0.662000	1.944375
0.663000	1.099592
0.664000	0.526530
0.665000	1.579611
0.666000	0.692009
0.667000	0.469224
0.668000	1.103455
0.669000	0.719697
0.670000	2.409907
0.671000	3.602713
0.672000	3.889244
0.673000	2.870288
0.674000	2.245715
0.675000	1.507818
0.676000	0.805334
0.677000	0.309539
0.678000	0.473731
0.679000	0.642752
0.680000	0.986267
0.681000	1.089611
0.682000	1.211306
0.683000	1.032949
0.684000	1.178468
0.685000	1.532286
0.686000	1.479165
0.687000	1.670400
0.688000	1.556753
0.689000	1.504598
0.690000	0.329178
0.691000	0.999789
0.692000	0.713258
0.693000	0.283139
0.694000	0.237101
0.695000	0.560978
0.696000	0.256740
0.697000	0.437351
0.698000	0.671083
0.699000	0.868113
0.700000	0.872621
0.701000	0.442502
0.702000	0.636313
0.703000	0.449585
0.704000	0.262535
0.705000	0.308251
0.706000	0.330465
0.707000	0.221648
0.708000	0.925741
0.709000	1.728028
0.710000	1.672332
0.711000	0.638245
0.712000	0.587699
0.713000	0.320163
0.714000	0.872942
0.715000	0.451195
0.716000	0.226477
0.717000	0.717443
0.718000	0.228731
0.719000	0.344631
0.720000	0.577719
0.721000	0.744165
0.722000	0.694263
0.723000	0.214887
0.724000	0.699414
0.725000	0.880669
0.726000	0.552929
0.727000	0.527496
0.728000	0.680419
0.729000	1.169132
0.730000	1.450190
0.731000	0.459565
0.732000	0.222292
0.733000	0.621504
0.734000	1.113113
0.735000	1.868718
0.736000	1.681346
0.737000	0.706819
0.738000	0.346563
0.739000	0.760906
0.740000	0.779578
0.741000	0.307607
0.742000	0.913186
0.743000	0.334329
0.744000	0.493048
0.745000	0.334329
0.746000	0.829158
0.747000	0.655952
0.748000	0.724526
0.749000	0.511076
0.750000	0.228731
0.751000	1.095084
0.752000	0.389059
0.753000	0.261247
0.754000	0.490794
0.755000	0.959546
0.756000	0.653054
0.757000	0.283783
0.758000	0.225189
0.759000	0.301812
0.760000	0.356221
0.761000	0.756076
0.762000	1.226760
0.763000	1.013310
0.764000	0.958902
0.765000	0.720341
0.766000	0.247404
0.767000	0.489184
0.768000	0.602831
0.769000	0.853948
0.770000	0.720984
0.771000	0.289578
0.772000	0.374250
0.773000	0.667220
0.774000	0.713580
0.775000	0.833343
0.776000	0.711648
0.777000	0.613455
0.778000	0.758330
0.779000	0.855879
0.780000	0.254486
0.781000	0.298593
0.782000	0.296339
0.783000	0.722916
0.784000	1.175571
0.785000	1.177824
0.786000	0.367811
0.787000	0.244184
0.788000	0.337548
0.789000	0.311471
0.790000	0.914473
0.791000	0.966306
0.792000	0.720663
0.793000	0.590919
0.794000	0.560656
0.795000	0.581582
0.796000	0.480814
0.797000	0.490150
0.798000	0.744165
0.799000	0.606372
0.800000	0.650157
0.801000	0.201365
0.802000	0.222292
0.803000	0.299237
0.804000	0.428337
0.805000	0.286359
0.806000	0.248047
0.807000	0.404835
0.808000	0.552285
0.809000	0.196858
0.810000	0.289578
0.811000	0.333363
0.812000	0.856845
0.813000	1.089933
0.814000	1.168810
0.815000	1.198429
0.816000	0.698770
0.817000	0.626011
0.818000	1.290183
0.819000	1.050334
0.820000	0.426083
0.821000	0.385196
0.822000	0.230341
0.823000	0.384552
0.824000	0.674302
0.825000	1.089611
0.826000	1.183941
0.827000	1.109894
0.828000	1.006872
0.829000	1.532286
0.830000	1.201326
0.831000	0.608948
0.832000	0.587699
0.833000	0.621182
0.834000	0.312115
0.835000	0.235170
0.836000	0.309861
0.837000	0.706497
0.838000	0.786339
0.839000	0.692009
0.840000	0.563553
0.841000	0.435741
0.842000	0.296661
0.843000	0.314046
0.844000	0.218751
0.845000	0.401615
0.846000	0.249979
0.847000	0.272837
0.848000	0.480492
0.849000	0.570958
0.850000	0.596714
0.851000	0.396142
0.852000	0.233882
0.853000	0.197180
0.854000	0.293442
0.855000	0.329821
0.856000	0.634381
0.857000	0.805978
0.858000	0.742555
0.859000	0.611845
0.860000	0.325314
0.861000	0.506891
0.862000	0.509145
0.863000	0.276057
0.864000	0.332075
0.865000	0.243218
0.866000	0.221004
0.867000	0.643718
0.868000	0.900308
0.869000	0.408376
0.870000	0.306641
0.871000	0.484677
0.872000	0.688146
0.873000	0.243540
0.874000	0.311471
